Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
21/01/2020,19:30,Everton,Newcastle,2,2,D
21/01/2020,19:30,Sheffield United,Man City,0,1,A
21/01/2020,20:15,Chelsea,Arsenal,2,2,D
22/01/2020,19:30,Leicester,West Ham,4,1,H
22/01/2020,19:30,Tottenham,Norwich,2,1,H
22/01/2020,20:15,Man United,Burnley,0,2,A
23/01/2020,20:00,Wolves,Liverpool,1,2,A
29/01/2020,19:45,West Ham,Liverpool,0,2,A
1/2/2020,12:30,Leicester,Chelsea,2,2,D
1/2/2020,15:00,Bournemouth,Aston Villa,2,1,H
1/2/2020,15:00,Crystal Palace,Sheffield United,0,1,A
1/2/2020,15:00,Liverpool,Southampton,4,0,H
1/2/2020,15:00,Newcastle,Norwich,0,0,D
1/2/2020,15:00,Watford,Everton,2,3,A
1/2/2020,15:00,West Ham,Brighton,3,3,D
1/2/2020,17:30,Man United,Wolves,0,0,D
2/2/2020,14:00,Burnley,Arsenal,0,0,D
2/2/2020,16:30,Tottenham,Man City,2,0,H
8/2/2020,12:30,Everton,Crystal Palace,3,1,H
8/2/2020,17:30,Brighton,Watford,1,1,D
9/2/2020,14:00,Sheffield United,Bournemouth,2,1,H
14/02/2020,20:00,Wolves,Leicester,0,0,D
15/02/2020,12:30,Southampton,Burnley,1,2,A
15/02/2020,17:30,Norwich,Liverpool,0,1,A
16/02/2020,14:00,Aston Villa,Tottenham,2,3,A
16/02/2020,16:30,Arsenal,Newcastle,4,0,H
17/02/2020,20:00,Chelsea,Man United,0,2,A
19/02/2020,19:30,Man City,West Ham,2,0,H
22/02/2020,12:30,Chelsea,Tottenham,2,1,H
22/02/2020,15:00,Burnley,Bournemouth,3,0,H
22/02/2020,15:00,Crystal Palace,Newcastle,1,0,H
22/02/2020,15:00,Sheffield United,Brighton,1,1,D
22/02/2020,15:00,Southampton,Aston Villa,2,0,H
22/02/2020,17:30,Leicester,Man City,0,1,A
23/02/2020,14:00,Man United,Watford,3,0,H
23/02/2020,14:00,Wolves,Norwich,3,0,H
23/02/2020,16:30,Arsenal,Everton,3,2,H
24/02/2020,20:00,Liverpool,West Ham,3,2,H
28/02/2020,20:00,Norwich,Leicester,1,0,H
29/02/2020,12:30,Brighton,Crystal Palace,0,1,A
29/02/2020,15:00,Bournemouth,Chelsea,2,2,D
29/02/2020,15:00,Newcastle,Burnley,0,0,D
29/02/2020,15:00,West Ham,Southampton,3,1,H
29/02/2020,17:30,Watford,Liverpool,3,0,H
1/3/2020,14:00,Everton,Man United,1,1,D
1/3/2020,14:00,Tottenham,Wolves,2,3,A
7/3/2020,12:30,Liverpool,Bournemouth,2,1,H
7/3/2020,15:00,Arsenal,West Ham,1,0,H
7/3/2020,15:00,Crystal Palace,Watford,1,0,H
7/3/2020,15:00,Sheffield United,Norwich,1,0,H
7/3/2020,15:00,Southampton,Newcastle,0,1,A
7/3/2020,15:00,Wolves,Brighton,0,0,D
7/3/2020,17:30,Burnley,Tottenham,1,1,D
8/3/2020,14:00,Chelsea,Everton,4,0,H
8/3/2020,16:30,Man United,Man City,2,0,H
9/3/2020,20:00,Leicester,Aston Villa,4,0,H
17/06/2020,18:00,Aston Villa,Sheffield United,0,0,D
17/06/2020,20:15,Man City,Arsenal,3,0,H
19/06/2020,18:00,Norwich,Southampton,0,3,A
19/06/2020,20:15,Tottenham,Man United,1,1,D
20/06/2020,12:30,Watford,Leicester,1,1,D
20/06/2020,15:00,Brighton,Arsenal,2,1,H
20/06/2020,17:30,West Ham,Wolves,0,2,A
20/06/2020,19:45,Bournemouth,Crystal Palace,0,2,A
21/06/2020,14:00,Newcastle,Sheffield United,3,0,H
21/06/2020,16:15,Aston Villa,Chelsea,1,2,A
21/06/2020,19:00,Everton,Liverpool,0,0,D
22/06/2020,20:00,Man City,Burnley,5,0,H
23/06/2020,18:00,Leicester,Brighton,0,0,D
23/06/2020,20:15,Tottenham,West Ham,2,0,H
24/06/2020,18:00,Man United,Sheffield United,3,0,H
24/06/2020,18:00,Newcastle,Aston Villa,1,1,D
24/06/2020,18:00,Norwich,Everton,0,1,A
24/06/2020,18:00,Wolves,Bournemouth,1,0,H
24/06/2020,20:15,Liverpool,Crystal Palace,4,0,H
25/06/2020,18:00,Burnley,Watford,1,0,H
25/06/2020,18:00,Southampton,Arsenal,0,2,A
25/06/2020,20:15,Chelsea,Man City,2,1,H
27/06/2020,12:30,Aston Villa,Wolves,0,1,A
28/06/2020,16:30,Watford,Southampton,1,3,A
29/06/2020,20:00,Crystal Palace,Burnley,0,1,A
30/06/2020,20:15,Brighton,Man United,0,3,A
1/7/2020,18:00,Arsenal,Norwich,4,0,H
1/7/2020,18:00,Bournemouth,Newcastle,1,4,A
1/7/2020,18:00,Everton,Leicester,2,1,H
1/7/2020,20:15,West Ham,Chelsea,3,2,H
2/7/2020,18:00,Sheffield United,Tottenham,3,1,H
2/7/2020,20:15,Man City,Liverpool,4,0,H
4/7/2020,12:30,Norwich,Brighton,0,1,A
4/7/2020,15:00,Leicester,Crystal Palace,3,0,H
4/7/2020,15:00,Man United,Bournemouth,5,2,H
4/7/2020,17:30,Wolves,Arsenal,0,2,A
4/7/2020,20:00,Chelsea,Watford,3,0,H
5/7/2020,12:00,Burnley,Sheffield United,1,1,D
5/7/2020,14:15,Newcastle,West Ham,2,2,D
5/7/2020,16:30,Liverpool,Aston Villa,2,0,H
5/7/2020,19:00,Southampton,Man City,1,0,H
6/7/2020,20:00,Tottenham,Everton,1,0,H
7/7/2020,18:00,Crystal Palace,Chelsea,2,3,A
7/7/2020,18:00,Watford,Norwich,2,1,H
7/7/2020,20:15,Arsenal,Leicester,1,1,D
8/7/2020,18:00,Man City,Newcastle,5,0,H
8/7/2020,18:00,Sheffield United,Wolves,1,0,H
8/7/2020,18:00,West Ham,Burnley,0,1,A
8/7/2020,20:15,Brighton,Liverpool,1,3,A
9/7/2020,18:00,Bournemouth,Tottenham,0,0,D
9/7/2020,18:00,Everton,Southampton,1,1,D
9/7/2020,20:15,Aston Villa,Man United,0,3,A
11/7/2020,12:30,Norwich,West Ham,0,4,A
11/7/2020,12:30,Watford,Newcastle,2,1,H
11/7/2020,15:00,Liverpool,Burnley,1,1,D
11/7/2020,17:30,Sheffield United,Chelsea,3,0,H
11/7/2020,20:00,Brighton,Man City,0,5,A
12/7/2020,12:00,Wolves,Everton,3,0,H
12/7/2020,14:15,Aston Villa,Crystal Palace,2,0,H
12/7/2020,16:30,Tottenham,Arsenal,2,1,H
12/7/2020,19:00,Bournemouth,Leicester,4,1,H
13/07/2020,20:00,Man United,Southampton,2,2,D
14/07/2020,20:15,Chelsea,Norwich,1,0,H
