Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
11/8/2023,20:00,Burnley,Man City,0,3,A
12/8/2023,12:30,Arsenal,Nott'm Forest,2,1,H
12/8/2023,15:00,Bournemouth,West Ham,1,1,D
12/8/2023,15:00,Brighton,Luton,4,1,H
12/8/2023,15:00,Everton,Fulham,0,1,A
12/8/2023,15:00,Sheffield United,Crystal Palace,0,1,A
12/8/2023,17:30,Newcastle,Aston Villa,5,1,H
13/08/2023,14:00,Brentford,Tottenham,2,2,D
13/08/2023,16:30,Chelsea,Liverpool,1,1,D
14/08/2023,20:00,Man United,Wolves,1,0,H
18/08/2023,19:45,Nott'm Forest,Sheffield United,2,1,H
19/08/2023,15:00,Fulham,Brentford,0,3,A
19/08/2023,15:00,Liverpool,Bournemouth,3,1,H
19/08/2023,15:00,Wolves,Brighton,1,4,A
19/08/2023,17:30,Tottenham,Man United,2,0,H
19/08/2023,20:00,Man City,Newcastle,1,0,H
20/08/2023,14:00,Aston Villa,Everton,4,0,H
20/08/2023,16:30,West Ham,Chelsea,3,1,H
21/08/2023,20:00,Crystal Palace,Arsenal,0,1,A
25/08/2023,20:00,Chelsea,Luton,3,0,H
26/08/2023,12:30,Bournemouth,Tottenham,0,2,A
26/08/2023,15:00,Arsenal,Fulham,2,2,D
26/08/2023,15:00,Brentford,Crystal Palace,1,1,D
26/08/2023,15:00,Everton,Wolves,0,1,A
26/08/2023,15:00,Man United,Nott'm Forest,3,2,H
26/08/2023,17:30,Brighton,West Ham,1,3,A
27/08/2023,14:00,Burnley,Aston Villa,1,3,A
27/08/2023,14:00,Sheffield United,Man City,1,2,A
27/08/2023,16:30,Newcastle,Liverpool,1,2,A
1/9/2023,20:00,Luton,West Ham,1,2,A
2/9/2023,12:30,Sheffield United,Everton,2,2,D
2/9/2023,15:00,Brentford,Bournemouth,2,2,D
2/9/2023,15:00,Burnley,Tottenham,2,5,A
2/9/2023,15:00,Chelsea,Nott'm Forest,0,1,A
2/9/2023,15:00,Man City,Fulham,5,1,H
2/9/2023,17:30,Brighton,Newcastle,3,1,H
3/9/2023,14:00,Crystal Palace,Wolves,3,2,H
3/9/2023,14:00,Liverpool,Aston Villa,3,0,H
3/9/2023,16:30,Arsenal,Man United,3,1,H
16/09/2023,12:30,Wolves,Liverpool,1,3,A
16/09/2023,15:00,Aston Villa,Crystal Palace,3,1,H
16/09/2023,15:00,Fulham,Luton,1,0,H
16/09/2023,15:00,Man United,Brighton,1,3,A
16/09/2023,15:00,Tottenham,Sheffield United,2,1,H
16/09/2023,15:00,West Ham,Man City,1,3,A
16/09/2023,17:30,Newcastle,Brentford,1,0,H
17/09/2023,14:00,Bournemouth,Chelsea,0,0,D
17/09/2023,16:30,Everton,Arsenal,0,1,A
18/09/2023,19:45,Nott'm Forest,Burnley,1,1,D
23/09/2023,15:00,Crystal Palace,Fulham,0,0,D
23/09/2023,15:00,Luton,Wolves,1,1,D
23/09/2023,15:00,Man City,Nott'm Forest,2,0,H
23/09/2023,17:30,Brentford,Everton,1,3,A
23/09/2023,20:00,Burnley,Man United,0,1,A
24/09/2023,14:00,Arsenal,Tottenham,2,2,D
24/09/2023,14:00,Brighton,Bournemouth,3,1,H
24/09/2023,14:00,Chelsea,Aston Villa,0,1,A
24/09/2023,14:00,Liverpool,West Ham,3,1,H
24/09/2023,16:30,Sheffield United,Newcastle,0,8,A
30/09/2023,12:30,Aston Villa,Brighton,6,1,H
30/09/2023,15:00,Bournemouth,Arsenal,0,4,A
30/09/2023,15:00,Everton,Luton,1,2,A
30/09/2023,15:00,Man United,Crystal Palace,0,1,A
30/09/2023,15:00,Newcastle,Burnley,2,0,H
30/09/2023,15:00,West Ham,Sheffield United,2,0,H
30/09/2023,15:00,Wolves,Man City,2,1,H
30/09/2023,17:30,Tottenham,Liverpool,2,1,H
1/10/2023,14:00,Nott'm Forest,Brentford,1,1,D
2/10/2023,20:00,Fulham,Chelsea,0,2,A
3/10/2023,19:30,Luton,Burnley,1,2,A
7/10/2023,12:30,Luton,Tottenham,0,1,A
7/10/2023,15:00,Burnley,Chelsea,1,4,A
7/10/2023,15:00,Everton,Bournemouth,3,0,H
7/10/2023,15:00,Fulham,Sheffield United,3,1,H
7/10/2023,15:00,Man United,Brentford,2,1,H
7/10/2023,17:30,Crystal Palace,Nott'm Forest,0,0,D
8/10/2023,14:00,Brighton,Liverpool,2,2,D
8/10/2023,14:00,West Ham,Newcastle,2,2,D
8/10/2023,14:00,Wolves,Aston Villa,1,1,D
8/10/2023,16:30,Arsenal,Man City,1,0,H
21/10/2023,12:30,Liverpool,Everton,2,0,H
21/10/2023,15:00,Bournemouth,Wolves,1,2,A
21/10/2023,15:00,Brentford,Burnley,3,0,H
21/10/2023,15:00,Man City,Brighton,2,1,H
21/10/2023,15:00,Newcastle,Crystal Palace,4,0,H
21/10/2023,15:00,Nott'm Forest,Luton,2,2,D
21/10/2023,17:30,Chelsea,Arsenal,2,2,D
21/10/2023,20:00,Sheffield United,Man United,1,2,A
22/10/2023,16:30,Aston Villa,West Ham,4,1,H
23/10/2023,20:00,Tottenham,Fulham,2,0,H
27/10/2023,20:00,Crystal Palace,Tottenham,1,2,A
28/10/2023,12:30,Chelsea,Brentford,0,2,A
28/10/2023,15:00,Arsenal,Sheffield United,5,0,H
28/10/2023,15:00,Bournemouth,Burnley,2,1,H
28/10/2023,17:30,Wolves,Newcastle,2,2,D
29/10/2023,13:00,West Ham,Everton,0,1,A
29/10/2023,14:00,Aston Villa,Luton,3,1,H
29/10/2023,14:00,Brighton,Fulham,1,1,D
29/10/2023,14:00,Liverpool,Nott'm Forest,3,0,H
29/10/2023,15:30,Man United,Man City,0,3,A
4/11/2023,12:30,Fulham,Man United,0,1,A
4/11/2023,15:00,Brentford,West Ham,3,2,H
4/11/2023,15:00,Burnley,Crystal Palace,0,2,A
4/11/2023,15:00,Everton,Brighton,1,1,D
4/11/2023,15:00,Man City,Bournemouth,6,1,H
4/11/2023,15:00,Sheffield United,Wolves,2,1,H
4/11/2023,17:30,Newcastle,Arsenal,1,0,H
5/11/2023,14:00,Nott'm Forest,Aston Villa,2,0,H
5/11/2023,16:30,Luton,Liverpool,1,1,D
6/11/2023,20:00,Tottenham,Chelsea,1,4,A
11/11/2023,12:30,Wolves,Tottenham,2,1,H
11/11/2023,15:00,Arsenal,Burnley,3,1,H
11/11/2023,15:00,Crystal Palace,Everton,2,3,A
11/11/2023,15:00,Man United,Luton,1,0,H
11/11/2023,17:30,Bournemouth,Newcastle,2,0,H
12/11/2023,14:00,Aston Villa,Fulham,3,1,H
12/11/2023,14:00,Brighton,Sheffield United,1,1,D
12/11/2023,14:00,Liverpool,Brentford,3,0,H
12/11/2023,14:00,West Ham,Nott'm Forest,3,2,H
12/11/2023,16:30,Chelsea,Man City,4,4,D
25/11/2023,12:30,Man City,Liverpool,1,1,D
25/11/2023,15:00,Burnley,West Ham,1,2,A
25/11/2023,15:00,Luton,Crystal Palace,2,1,H
25/11/2023,15:00,Newcastle,Chelsea,4,1,H
25/11/2023,15:00,Nott'm Forest,Brighton,2,3,A
25/11/2023,15:00,Sheffield United,Bournemouth,1,3,A
25/11/2023,17:30,Brentford,Arsenal,0,1,A
26/11/2023,14:00,Tottenham,Aston Villa,1,2,A
26/11/2023,16:30,Everton,Man United,0,3,A
27/11/2023,20:00,Fulham,Wolves,3,2,H
2/12/2023,15:00,Arsenal,Wolves,2,1,H
2/12/2023,15:00,Brentford,Luton,3,1,H
2/12/2023,15:00,Burnley,Sheffield United,5,0,H
2/12/2023,17:30,Nott'm Forest,Everton,0,1,A
2/12/2023,20:00,Newcastle,Man United,1,0,H
3/12/2023,14:00,Bournemouth,Aston Villa,2,2,D
3/12/2023,14:00,Chelsea,Brighton,3,2,H
3/12/2023,14:00,Liverpool,Fulham,4,3,H
3/12/2023,14:00,West Ham,Crystal Palace,1,1,D
3/12/2023,16:30,Man City,Tottenham,3,3,D
5/12/2023,19:30,Wolves,Burnley,1,0,H
5/12/2023,20:15,Luton,Arsenal,3,4,A
6/12/2023,19:30,Brighton,Brentford,2,1,H
6/12/2023,19:30,Crystal Palace,Bournemouth,0,2,A
6/12/2023,19:30,Fulham,Nott'm Forest,5,0,H
6/12/2023,19:30,Sheffield United,Liverpool,0,2,A
6/12/2023,20:15,Aston Villa,Man City,1,0,H
6/12/2023,20:15,Man United,Chelsea,2,1,H
7/12/2023,19:30,Everton,Newcastle,3,0,H
7/12/2023,20:15,Tottenham,West Ham,1,2,A
9/12/2023,12:30,Crystal Palace,Liverpool,1,2,A
9/12/2023,15:00,Brighton,Burnley,1,1,D
9/12/2023,15:00,Man United,Bournemouth,0,3,A
9/12/2023,15:00,Sheffield United,Brentford,1,0,H
9/12/2023,15:00,Wolves,Nott'm Forest,1,1,D
9/12/2023,17:30,Aston Villa,Arsenal,1,0,H
10/12/2023,14:00,Everton,Chelsea,2,0,H
10/12/2023,14:00,Fulham,West Ham,5,0,H
10/12/2023,14:00,Luton,Man City,1,2,A
10/12/2023,16:30,Tottenham,Newcastle,4,1,H
15/12/2023,20:00,Nott'm Forest,Tottenham,0,2,A
16/12/2023,15:00,Chelsea,Sheffield United,2,0,H
16/12/2023,15:00,Man City,Crystal Palace,2,2,D
16/12/2023,15:00,Newcastle,Fulham,3,0,H
16/12/2023,17:30,Burnley,Everton,0,2,A
17/12/2023,14:00,Arsenal,Brighton,2,0,H
17/12/2023,14:00,Brentford,Aston Villa,1,2,A
17/12/2023,14:00,West Ham,Wolves,3,0,H
17/12/2023,16:30,Liverpool,Man United,0,0,D
21/12/2023,20:00,Crystal Palace,Brighton,1,1,D
22/12/2023,20:00,Aston Villa,Sheffield United,1,1,D
23/12/2023,12:30,West Ham,Man United,2,0,H
23/12/2023,15:00,Fulham,Burnley,0,2,A
23/12/2023,15:00,Luton,Newcastle,1,0,H
23/12/2023,15:00,Nott'm Forest,Bournemouth,2,3,A
23/12/2023,15:00,Tottenham,Everton,2,1,H
23/12/2023,17:30,Liverpool,Arsenal,1,1,D
24/12/2023,13:00,Wolves,Chelsea,2,1,H
26/12/2023,12:30,Newcastle,Nott'm Forest,1,3,A
26/12/2023,15:00,Bournemouth,Fulham,3,0,H
26/12/2023,15:00,Sheffield United,Luton,2,3,A
26/12/2023,17:30,Burnley,Liverpool,0,2,A
26/12/2023,20:00,Man United,Aston Villa,3,2,H
27/12/2023,19:30,Brentford,Wolves,1,4,A
27/12/2023,19:30,Chelsea,Crystal Palace,2,1,H
27/12/2023,20:15,Everton,Man City,1,3,A
28/12/2023,19:30,Brighton,Tottenham,4,2,H
28/12/2023,20:15,Arsenal,West Ham,0,2,A
30/12/2023,12:30,Luton,Chelsea,2,3,A
30/12/2023,15:00,Aston Villa,Burnley,3,2,H
30/12/2023,15:00,Crystal Palace,Brentford,3,1,H
30/12/2023,15:00,Man City,Sheffield United,2,0,H
30/12/2023,15:00,Wolves,Everton,3,0,H
30/12/2023,17:30,Nott'm Forest,Man United,2,1,H
31/12/2023,14:00,Fulham,Arsenal,2,1,H
31/12/2023,14:00,Tottenham,Bournemouth,3,1,H
1/1/2024,20:00,Liverpool,Newcastle,4,2,H
2/1/2024,19:30,West Ham,Brighton,0,0,D
12/1/2024,19:45,Burnley,Luton,1,1,D
13/01/2024,12:30,Chelsea,Fulham,1,0,H
13/01/2024,17:30,Newcastle,Man City,2,3,A
14/01/2024,14:00,Everton,Aston Villa,0,0,D
14/01/2024,16:30,Man United,Tottenham,2,2,D
20/01/2024,12:30,Arsenal,Crystal Palace,5,0,H
20/01/2024,17:30,Brentford,Nott'm Forest,3,2,H
21/01/2024,14:00,Sheffield United,West Ham,2,2,D
21/01/2024,16:30,Bournemouth,Liverpool,0,4,A
22/01/2024,19:45,Brighton,Wolves,0,0,D
30/01/2024,19:30,Nott'm Forest,Arsenal,1,2,A
30/01/2024,19:45,Fulham,Everton,0,0,D
30/01/2024,19:45,Luton,Brighton,4,0,H
30/01/2024,20:00,Crystal Palace,Sheffield United,3,2,H
30/01/2024,20:15,Aston Villa,Newcastle,1,3,A
31/01/2024,19:30,Man City,Burnley,3,1,H
31/01/2024,19:30,Tottenham,Brentford,3,2,H
31/01/2024,20:15,Liverpool,Chelsea,4,1,H
1/2/2024,19:30,West Ham,Bournemouth,1,1,D
1/2/2024,20:15,Wolves,Man United,3,4,A
3/2/2024,12:30,Everton,Tottenham,2,2,D
3/2/2024,15:00,Brighton,Crystal Palace,4,1,H
3/2/2024,15:00,Burnley,Fulham,2,2,D
3/2/2024,15:00,Newcastle,Luton,4,4,D
3/2/2024,17:30,Sheffield United,Aston Villa,0,5,A
4/2/2024,14:00,Bournemouth,Nott'm Forest,1,1,D
4/2/2024,14:00,Chelsea,Wolves,2,4,A
4/2/2024,14:00,Man United,West Ham,3,0,H
4/2/2024,16:30,Arsenal,Liverpool,3,1,H
5/2/2024,20:00,Brentford,Man City,1,3,A
10/2/2024,12:30,Man City,Everton,2,0,H
10/2/2024,15:00,Fulham,Bournemouth,3,1,H
10/2/2024,15:00,Liverpool,Burnley,3,1,H
10/2/2024,15:00,Luton,Sheffield United,1,3,A
